,hour,users,messages,date
34,1:04,Ivan,A ver qué hace,26-6-19
35,6:22,Ivan,La reputa madre que sueño,26-6-19
36,6:23,Jose,Ssssh,26-6-19
37,7:43,Alvarito,La manipulacion del lenguaje es otro nivel,26-6-19
40,7:43,Jose,Jajajajaja esto es increíble si,26-6-19
41,7:56,Alvarito,Es realmente indignante y acojonante que estemos viendo como se va minando nuetsra cultura y que no se haga nada,26-6-19
42,7:56,Alvarito,Buuaaafffffff,26-6-19
43,9:06,Pete,Q mala tiene q ser la carmen calvo,26-6-19
44,9:22,Pete,1 de cada 5 jueces se han apuntado s un curso este verano de perspectiva de genaro,26-6-19
45,9:24,Alvarito,Enorme,26-6-19
46,9:26,Alvarito,El pais tio,26-6-19
47,9:26,Alvarito,Q va de culo en serio,26-6-19
48,9:26,Alvarito,Estan ganando,26-6-19
49,10:58,Pete,muy crack esta tia,26-6-19
50,10:58,Pete,//www.infobae.com/america/cultura-america/2018/04/10/las-frases-mas-irreverentes-de-camille-paglia-la-feminista-que-odian-las-feministas/,26-6-19
51,11:55,Pete,<Multimedia omitido>,26-6-19
52,11:55,Pete,Hoy se hace limpieza de papel,26-6-19
53,11:55,Pete,Joder lo q he sacado de los cajones niño,26-6-19
54,11:56,Juli,Pero que diógenes tenías ahí muchacho,26-6-19
55,12:29,Alvarito,Pero que cojones,26-6-19
56,12:45,Ivan,//www.youtube.com/watch?v=WdCe7CF93zs&feature=share,26-6-19
57,12:50,Ivan,"@34619780788 volvieron a subir el videoclip ese de los Manowar en el que salían al escenario en motos, se bañaban en cerveza, iban en motos de nieve en la nieve sin camiseta, les daban cachetes a",26-6-19
58,13:17,Alvarito,Es ese video q has pasado,26-6-19
59,13:17,Alvarito,Joder voy a verlo bien coño bien!!,26-6-19
60,13:18,Alvarito,Insisto a TODOS!!!! Hay q empezar a descargarse mos videos de youtube q los van a quitar,26-6-19
61,13:19,Ivan,Justo ayer se lo decía a Fonseca,26-6-19
62,13:19,Ivan,Sip,26-6-19
63,13:20,Alvarito,Edta muy guapo joder,26-6-19
64,13:21,Ivan,Ya lo creo. Me da hasta envidia,26-6-19
65,13:36,Pete,//m.forocoches.com/foro/showthread.php?t=7268792,26-6-19
66,13:40,Pete,//www.elmundo.es/madrid/2019/06/26/5d13264221efa0a61c8b467a.html,26-6-19
67,13:40,Pete,Bien bien,26-6-19
68,13:41,Pete,A ver q dice Federico mañana q está insoportable desde q se lleva mal con el de los monteros,26-6-19
69,13:42,Jose,Federico dice lo que me gusta,26-6-19
70,13:42,Jose,Bien,26-6-19
71,13:42,Jose,Federico dice lo que no me gusta,26-6-19
72,13:42,Jose,Que insoportable esta,26-6-19
73,13:46,Antoñito,El de los monteros es más tonto,26-6-19
74,13:46,Antoñito,Sensacionalista a saco,26-6-19
75,13:48,Pete,Federico tiene salidas de siempre,26-6-19
76,13:49,Pete,"Y ahora le ha dado x vox xq no deja a su PP favorito, el de Madrid, q siempre le ha beneficiado a su empresa",26-6-19
77,13:49,Pete,Pero vamos q la culpa la tiene cs q dan un asco tremebundo,26-6-19
78,13:49,Pete,Agree,26-6-19
79,13:50,Jose,Por no querer pactar con populismos?,26-6-19
80,13:52,Pete,Populismos?? Si tienen el mismo programa economico,26-6-19
81,13:52,Pete,Y las medidas q plantean son perfectamente aplicables con voluntad,26-6-19
82,13:53,Pete,Otra cosa es q sean peliculeros a la hora de captar el voto,26-6-19
83,14:20,Jorge,Este mensaje fue eliminado,26-6-19
84,14:24,Jorge,<Multimedia omitido>,26-6-19
85,15:13,Alvarito,Consultor fracasado,26-6-19
86,16:08,Jorge,<Multimedia omitido>,26-6-19
87,16:26,Alvarito,Jajjjjajaj,26-6-19
88,16:26,Jorge,Os voy a copiar una reflexión que he hecho en los buyuyus y que quiero compartir con ustedes como buenos compañeros de viaje que han sido estos meses,26-6-19
89,16:27,Jorge,"Tocho va. Estoy hasta los cojones de ligotear y venga WhatsApp y venga guarrillas y venga Tinder. Vuelvo a ser el tito mistermingo. Más amigos, mas hobbies, mas gimnasio, más salud y menos",26-6-19
94,16:29,Alvarito,Estamos contigo,26-6-19
95,16:32,Laura,❤,26-6-19
96,16:42,Pete,Todos estamos contigo Jorge en tu desintoxicación de tu obsesión x el sexo,26-6-19
97,16:42,Pete,Laurita está contenta de que vuelvas al redil,26-6-19
98,16:42,Jorge,(,26-6-19
99,16:42,Jorge,Adiós Tinder Mingo siempre metias fichas,26-6-19
100,16:43,Jose,Hola MeeticMingl,26-6-19
101,16:43,Pete,Jaja,26-6-19
102,16:43,Jose,Para solteros exigentes,26-6-19
103,16:43,Pete,Vaya arreones q te dan!,26-6-19
104,16:43,Pete,Has bloqueado a las frescas q te hablaron?,26-6-19
105,16:46,Eku,Yo creo que hay un término medio,26-6-19
106,16:46,Eku,he quedado con una el jueves y el viernes como con una y ceno con otra pero el sábado tengo que quedar con la del jueves y el domingo con todas,26-6-19
107,16:46,Jorge,No hombre no,26-6-19
108,16:46,Eku,Te lo he puesto en ambos grupos por si no lo ves 😂,26-6-19
109,16:46,Jorge,"El término medio es el natural. Salir, si me apetece hablar con una, etc",26-6-19
110,16:46,Jorge,que surja,26-6-19
111,16:47,Alvarito,Exacto.,26-6-19
112,16:47,Alvarito,O eso o ha visto la cuenta corriente... que el MALABA no perdona,26-6-19
113,16:47,Eku,Pero no pasa nada por tener una o un par para tontear y purgar calderines cuando apetece,26-6-19
114,16:48,Alvarito,Y seguro algo hay en la recamara del tito,26-6-19
115,16:48,Eku,Yo quiero saber a qué se debe tan repentina conclusión,26-6-19
116,16:48,Eku,Algo ha pasado,26-6-19
117,16:48,Jorge,Bueno simplemente el sábado volví a follar,26-6-19
118,16:48,Jorge,El lunes me vino un bajón animico,26-6-19
119,16:48,Jorge,El martes reflexione,26-6-19
120,16:49,Jorge,Y hoy he llegado a conclusiones,26-6-19
121,16:49,Eku,Y consideras q ese estilo de vida es el responsable de ese bajón?,26-6-19
122,16:49,Eku,Concretamente el de las tías?,26-6-19
123,16:50,Jorge,,26-6-19
128,16:50,Jorge,Eso no me viene bien tan de continuo,26-6-19
129,16:50,Jorge,Debo asumir éxitos y fracasos menos frecuentes,26-6-19
130,16:51,Jorge,"Y debo dedicar mi tiempo a otras cosas. Véase guitarra eléctrica o hacer canciones, hobbies que simplemente me relajan y fomentan mi creatividad",26-6-19
131,16:51,Antoñito,👌🏻💪🏻,26-6-19
132,16:53,Alvarito,Top,26-6-19
133,16:53,Alvarito,Din. Es el din?,26-6-19
134,16:55,Juli,Me parece perfecto Jorge al cuerpo hay que darle lo que te pida,26-6-19
135,16:57,Jorge,Ya me dijo mi hermana que no necesitaba consejos que ya me los daba yo solito xdd,26-6-19
136,16:57,Jorge,Es una clase de tara psicológica,26-6-19
137,16:57,Jorge,La noche que me dejó Ana yo le contaba tan sereno a mi hermana y a mi madre todo lo que se supone que me tenían que decir ellas xdd,26-6-19
138,17:07,Eku,Entiendo. Tiene sentido,26-6-19
139,17:07,Jorge,Perdonad que tochee,26-6-19
140,17:08,Jorge,Pero escribir me ayuda a ordenar mis ideas,26-6-19
141,17:08,Eku,Esto es muy verdad,26-6-19
142,17:08,Eku,"Vamos q ya te di mi opinión, parecía q tenías el manual de rupturas",26-6-19
143,17:08,Jorge,Si pero no es 100% bueno ser asi,26-6-19
144,17:09,Jorge,Es una manera de autoprotegerse y enterrar los sentimientos,26-6-19
145,17:09,Jorge,Los cuales luego van saliendo poco a poco,26-6-19
146,17:09,Jorge,el que no sabe qué hacer y depende 100% de lo que le digan los demás que además no hace caso y la caga,26-6-19
147,17:14,Eku,Yo creo que hay una parte fuerte de ti que odia que le digan lo que no quiere oir,26-6-19
148,17:15,Eku,"A todos nos pasa en parte, dicho sea de paso",26-6-19
149,17:15,Jorge,Tampoco se me ha dicho nada que no quiera oír,26-6-19
150,17:15,Jorge,Que recuerde,26-6-19
151,17:15,Eku,Yo creo q sí,26-6-19
152,17:15,Jorge,El que?,26-6-19
153,17:15,Eku,"Por ejemplo, cuando confesaste que quedaste con Ana",26-6-19
154,17:16,Jorge,No me arrepiento de haberlo hecho,26-6-19
155,17:16,Eku,Yo creo que dejaste claro q no querías escuchar que era un error o al menos no profundizar en ello,26-6-19
156,17:16,Jorge,Por qué ha de ser un error?,26-6-19
157,17:16,Eku,Y recuerdo q luego hablaron otros en plan pero tiiiiiratela machooote,26-6-19
158,17:17,Eku,Y tu reaccion fue en plan pooooor fiiiin alguien q me entiende,26-6-19
159,17:17,Jorge,Me la hubiera tirado iba más perro que niebla XD,26-6-19
160,17:17,Jorge,"Pero ella estaba mal, se le notaba.",26-6-19
161,17:17,Jorge,En cualquier caso no fue un error quedar con ella,26-6-19
162,17:17,Jorge,Tuvimos conversaciones en frío que me ayudaron a seguir adelante,26-6-19
163,17:18,Eku,"No sé, creo que te sentías más cómodo en quien se lo tomó como una gracia y hacía coñas con que te la tiraras y tal a que te dijeran, tío, eso no está bien",26-6-19
164,17:19,Jorge,No me sentía bien con que se me dijera que no está bien que quedara con ella porque fue una decisión personal meditada y tomada fríamente de la que meses después no me arrepiento,26-6-19
165,17:19,Eku,"Porque además recuerdo q por el contrario conmigo fuiste muy cortante, en plan, vale tío, ya está, ya me has dicho tu opinión y la tengo en cuenta, pero es mi decisión, déjame darme la hostia",26-6-19
166,17:19,Ivan,😂🤣☺🤣,26-6-19
167,17:19,Alvarito,Pero jorgeeee q ya esta eku dando por ass,26-6-19
168,17:19,Alvarito,No entres no entres,26-6-19
169,17:19,Alvarito,Es como regalarle a juan una bolsa de monsanto,26-6-19
170,17:19,Eku,Pero hijo de puta si solo trato de ayudar,26-6-19
171,17:20,Eku,No se te ocurra soltar otro sermón neocatólicoapostólico que caeré sobre ti con toda la fuerza,26-6-19
172,17:20,Alvarito,<Multimedia omitido>,26-6-19
173,17:20,Jorge,"Y lo sigo pensando. Agradezco los consejos pero eso de que no debía quedar con ella, pues no estaba ni estoy de acuerdo",26-6-19
174,17:20,Alvarito,Jajajja y otro que entra como recuero a monsanto,26-6-19
175,17:21,Jorge,"Y fui cortante porque con algunas cosas no se debe debatir. Yo puedo escuchar tu opinión y la tengo en cuenta pero en asuntos tan tan personales no doy lugar a debate, es mi decisión y no",26-6-19
176,17:21,Ivan,ahora mismo estoy haciendo caca y me estaba asfixiando con el olor de mi propia mierda. Pues aunque yo habitual,26-6-19
177,17:22,Jorge,Eso no significa que no agradezca comentarios y no los tenga en cuenta,26-6-19
178,17:23,Ivan,😂🤣😂,26-6-19
179,17:24,Ivan,Que bien te explicas hostia. Da gusto leerte,26-6-19
180,17:24,Eku,"Yo creí q no debías hacerlo, mínimo porque sabía q la querías y creo que coincidíamos en que mínimo a ella le iba a hacer daño.",26-6-19
183,17:24,Eku,"Por eso opinaba eso, y creí q las circunstancias te cegaban (el dolor)",26-6-19
184,17:25,Eku,"Si ahora lo sigues viendo acertado, seguramente me equivocaría",26-6-19
185,17:25,Alvarito,Tmp es eso isma,26-6-19
186,17:25,Alvarito,Tu diste tu buena opinion a tu mejor entender de gran amigo,26-6-19
187,17:26,Alvarito,"Sin mas, no hagais bola",26-6-19
188,17:26,Ivan,Ismael eres un rayao rayador de otras personas,26-6-19
189,17:26,Jorge,Correcto. Y esto lo agradezco siempre. Pero hay cosas que no deben ser sometidas a debate.,26-6-19
190,17:26,Eku,Esto es a lo que me refería en el inicio de mi intervención. Lo cual respeto. Pero creo que coincidimos en que esa parte de ti existe,26-6-19
191,17:26,Jorge,"Entonces yo escuchar y tener en cuenta opiniones si, siempre. Más viniendo de buenos amigos. Pero debatir sobre ellas cuando estoy seguro, no. Y más siendo taaan personales.",26-6-19
192,17:27,Alvarito,<Multimedia omitido>,26-6-19
193,17:27,Eku,"Quiero decir q si en frío lo vio acertado, me equivoqué en el hecho de pensar que lo hacía por estar en caliente",26-6-19
194,17:27,Alvarito,<Multimedia omitido>,26-6-19
195,17:28,Alvarito,Os presento a FRANCHINO un jodido personaje del que dejemos aprender todo loq ue se pueda,26-6-19
196,17:28,Alvarito,Tiene pinta jodido tarado de la prensa rosa italiana,26-6-19
197,17:28,Eku,Este rayao tb te rayaba a ti cuando necesitaste ayuda. Never again,26-6-19
198,17:28,Alvarito,<Multimedia omitido>,26-6-19
199,17:28,Alvarito,Ismael eres un hater de haters. Never hate again,26-6-19
200,17:30,Eku,"Me jode q me diga eso un tipo del cual me comí su llanto día sí día también durante meses, lo q pasa q ahora es feliz y no se acuerda 😂",26-6-19
201,17:31,Ivan,Pero que es que le estás dando vueltas a algo que Jorge no ha empezado ni a debatir y luego sacas el tema de quedar con Ana y luego le dices que si tiene un Jorge interior que es un poco de no se,26-6-19
202,17:31,Jorge,<Multimedia omitido>,26-6-19
203,17:32,Ivan,Y te lo agradezco y es de muy buen amigo pero ahora te has empezado a ir por las ramas,26-6-19
204,17:32,Jorge,"me parto la polla con este audio, cambiando de tema",26-6-19
205,17:32,Eku,"La conversación ha desembocado en eso, no le he soltado eso de repente",26-6-19
206,17:32,Eku,"Si no, mira hacia atrás",26-6-19
207,17:33,Ivan,Y estoo??😳,26-6-19
208,17:33,Jorge,un audio que pasan por telegram a veces,26-6-19
209,17:33,Jorge,jajajaj,26-6-19
210,17:34,Ivan,Bueno lo que tú digas Ismael,26-6-19
211,17:34,Ivan,Pa ti la perra gorda,26-6-19
212,17:34,Alvarito,Bueno lo que tú digas Ivan,26-6-19
213,17:34,Alvarito,Pa ti la perra gorda,26-6-19
214,17:34,Eku,🤙🏻,26-6-19
215,17:34,Jorge,no peleéis muchachos,26-6-19
216,17:34,Jorge,acaso os va a acercar a la mejor versión de vosotros mismos?,26-6-19
217,17:35,Ivan,Las que lías Jorge,26-6-19
218,17:35,Ivan,XD,26-6-19
219,17:35,Alvarito,Es acaso usted mingutus el sabio?,26-6-19
220,17:36,Jorge,"Dé la bienvenida a Mingutus el Sabio. Mingutus era un joven que vivía una vida supuestamente feliz, pero un encontronazo le hizo bajar a los infiernos, donde se enfrentó a lo banal y carna",26-6-19
221,17:37,Alvarito,Demonios! Demonios! Demonios!,26-6-19
222,17:37,Alvarito,Yuuujuuuuuu,26-6-19
223,17:37,Alvarito,<Multimedia omitido>,26-6-19
224,17:37,Ivan,🤣😂🤣😂,26-6-19
225,17:38,Jorge,"reggae, merengue, bachata, rock y cuarteto a",26-6-19
226,17:42,Alvarito,Asi es patronnnn,26-6-19
227,17:43,Jorge,os recomiendo esta bella cancion,26-6-19
228,17:43,Alvarito,Lo unico q el no entona. Solo habla/canta con el mismo tono de locutor de radio maria,26-6-19
229,17:43,Jorge,cuarteto cordobes,26-6-19
230,17:43,Jorge,//www.youtube.com/watch?v=JVv08IZVMEg,26-6-19
231,17:43,Jorge,"no es de broma como yayo, pero da felicidad",26-6-19
232,17:43,Jorge,tengo que ir empapandome del genero,26-6-19
233,17:43,Jorge,porque pronto crearemos la cancion de ivan,26-6-19
234,17:43,Jorge,o de picolo,26-6-19
235,17:43,Jorge,o de chemita,26-6-19
236,17:44,Alvarito,Ufff,26-6-19
237,17:44,Alvarito,Creo q nuestros esfuerzos ahora deberian ser hacia el canal de youtube,26-6-19
238,18:38,Eku,<Multimedia omitido>,26-6-19
239,18:42,Alvaro,<Multimedia omitido>,26-6-19
240,18:59,Alvarito,//www.libertaddigital.com/ciencia-tecnologia/internet/2019-06-26/publican-un-video-que-revela-los-planes-de-google-para-que-trump-no-revalide-su-victoria-en-2020-1276640974/,26-6-19
241,19:59,Alvarito,Mundial mixto,26-6-19
242,19:59,Alvarito,Carreras de relevos mixtas,26-6-19
243,19:59,Alvarito,Pero q mierda es esta?,26-6-19
244,20:04,Antoñito,Y a escuchar hardcore,26-6-19
245,20:04,Antoñito,Joder que putas ganas de festival.,26-6-19
246,20:05,Jorge,No,26-6-19
247,20:05,Antoñito,Que si😂😂,26-6-19
248,20:05,Jose,<Multimedia omitido>,26-6-19
249,20:05,Antoñito,Ahora en serio un día tenemos que quedar que quiero hacer una canción y no se como,26-6-19
250,20:05,Antoñito,Necesito ayuda,26-6-19
251,20:06,Antoñito,No cantar... producir y necesito algún consejo,26-6-19
252,20:07,Jorge,Ok yo te puedo indicar el camino,26-6-19
253,20:07,Jorge,Pero aviso es muy complejo,26-6-19
254,20:08,Antoñito,"No importa, soy muy cabezon.",26-6-19
255,20:08,Antoñito,Porque la verdad que tengo menos oído que la hostia,26-6-19
256,20:08,Antoñito,😂😂,26-6-19
257,20:09,Jorge,<Multimedia omitido>,26-6-19
258,20:10,Eku,Pero qué es lo que quieres hacer exactamente?,26-6-19
259,20:12,Jorge,<Multimedia omitido>,26-6-19
260,20:15,Alvarito,Pero q maravilla,26-6-19
261,20:16,Eku,Quiere componer una canción de música electrónica?,26-6-19
262,20:24,Jorge,Si,26-6-19
263,20:42,Alvarito,Gardcore,26-6-19
264,20:44,Pinedo,Tremendo il nabucodonosor italiano,26-6-19
265,20:54,Ivan,Fantástico,26-6-19
266,20:54,Ivan,Hay una parte que la cantan en francés o en mogutu?,26-6-19
267,20:55,Eku,<Multimedia omitido>,26-6-19
268,21:01,Pinedo,//www.youtube.com/watch?v=WHzFa0TFHqw&feature=youtu.be,26-6-19
269,21:01,Pinedo,Mirtermingo debe hacer estas cosas,26-6-19
270,23:00,Ivan,//youtu.be/KDglY7QqyKM,26-6-19
271,23:01,Ivan,YouTube me sugirió esto no más. Las tías buenas están bien pero lo mejor es el negro gordísimo que se sube comiendo pollo,26-6-19
272,23:01,Ivan,Ps encantará,26-6-19
273,0:04,Alvarito,Os voy a desarrollar una teoria que llevo viendo años y para la que no tengo explicacion,27-6-19
274,0:05,Pete,Por favor,27-6-19
275,0:05,Jorge,<Multimedia omitido>,27-6-19
276,0:06,Alvarito,Por que todas las bolsas de basura que se rompen en la calle (bien sean los basureros o bien alguien al bajarla al cubo) estan llenas casi en su totalidad de NARANJAS? Pero vamos a ver.,27-6-19
279,0:06,Pete,Jajaja,27-6-19
280,0:07,Pete,"A mí no me mires, yo echo sepiolita para q absorba los reflujos y huela menos",27-6-19
281,0:07,Jorge,A mí no me mires. Tengo un tupper con gambas que no me atrevo a tirar por no abrirlo u que me dé el bofetón,27-6-19
282,0:09,Alvarito,Pos nada. Otro de los clasicos misterios sin resolver del lindo duende.,27-6-19
285,0:12,Jorge,Sinceramente nunca vi lo de las naranjas,27-6-19
286,0:12,Jorge,Seguro que mñn lo veo,27-6-19
287,0:12,Pete,Yo le tengo q dar la razon,27-6-19
288,0:13,Pete,Siempre hay putas naranjas si,27-6-19
289,0:14,Alvarito,Nunca miento cuando hablo de fascismo o de basura. Nunca,27-6-19
290,0:15,Jorge,<Multimedia omitido>,27-6-19
291,0:15,Jorge,<Multimedia omitido>,27-6-19
292,0:16,Alvarito,Yendo a la nuit,27-6-19
293,0:16,Alvarito,Vamos,27-6-19
294,0:16,Alvarito,Q estoy calientep,27-6-19
295,0:17,Antoñito,He oído nuit?,27-6-19
296,0:17,Alvarito,Tony tont tony,27-6-19
297,0:17,Alvarito,Q tenemos juerga en 3 dias,27-6-19
298,0:17,Alvarito,Mejor descansar,27-6-19
299,0:17,Alvarito,No?,27-6-19
300,0:17,Alvarito,No?,27-6-19
301,0:17,Alvarito,Nooo?,27-6-19
302,0:17,Alvarito,Ok pues no,27-6-19
303,0:17,Alvarito,Donde quedamos,27-6-19
304,0:18,Alvarito,Si es que eres un liante macho,27-6-19
305,0:18,Antoñito,Tienes razon,27-6-19
306,7:54,Jorge,<Multimedia omitido>,27-6-19
307,7:54,Jorge,Buena Nuit de joda,27-6-19
308,7:54,Jorge,<Multimedia omitido>,27-6-19
309,7:54,Jorge,El AMOOOOOOR,27-6-19
310,7:54,Jorge,5 Letras que forman una palabra mágica,27-6-19
311,7:54,Jorge,Por qué se extinguieron los dinosaurios? Porque no amabeeeeen,27-6-19
312,8:02,Alvarito,Asi es,27-6-19
313,8:02,Alvarito,Jajjajaja,27-6-19
314,8:04,Jorge,Como explicariamos a un extraterrestre lo que es el amooooeeeer,27-6-19
315,8:06,Alvarito,Me gusta mucho ese giro de voz final que hace,27-6-19
316,8:06,Alvarito,<Multimedia omitido>,27-6-19
317,8:07,Jorge,Eeeesa es la buena,27-6-19
318,8:08,Alvarito,<Multimedia omitido>,27-6-19
319,8:09,Alvarito,Joder con este calor me duele l cabeza culo,27-6-19
320,8:09,Alvarito,Es como si estuviera embotado (como los cuchillos del señor bilbo),27-6-19
321,8:10,Jorge,El calor,27-6-19
322,8:10,Jorge,HA HA HA HA HA,27-6-19
323,8:10,Jorge,el calor,27-6-19
324,8:10,Jorge,6 letras que muestran el verano el estio,27-6-19
325,8:10,Jorge,<Multimedia omitido>,27-6-19
326,8:11,Jorge,Lo que me jode es que @34666157081 se este riendo. Me tardaron 6 meses hacer ese poema,27-6-19
327,8:18,Alvarito,Cho no me eio,27-6-19
328,8:23,Alvaro,Va un joao,27-6-19
329,8:23,Alvaro,El maestro joao,27-6-19
330,8:31,Ivan,Mmmmn como te gusta el Maestro Joao joto,27-6-19
331,8:31,Ivan,Te encanta como te hace ssssoiuuurrppp con sus labios,27-6-19
332,8:31,Ivan,PU TI TO,27-6-19
333,8:39,Alvaro,😂😂😂😂,27-6-19
334,8:40,Alvaro,Me encanta haber dormido 5 horas un miércoles,27-6-19
335,8:40,Alvaro,Solo tinderningo lo hubiera hecho,27-6-19
336,8:40,Jorge,<Multimedia omitido>,27-6-19
337,8:41,Jorge,Hoy he estado haciéndome pruebas de ets,27-6-19
338,8:41,Jorge,Sangre chele y un bastoncillo en el agujero del nabo,27-6-19
339,8:41,Jose,EtsGO?,27-6-19
340,8:53,Ivan,Y eso?,27-6-19
341,8:53,Ivan,No has ido a currar?,27-6-19
342,8:59,Jorge,Un chequeo nomás,27-6-19
343,8:59,Jorge,He venido media hora tarde,27-6-19
344,9:08,Pete,foshahte sin gomita??,27-6-19
345,9:11,Jorge,"No, pero mistermingo el hipocondríaco se hara análisis periódicos si peca",27-6-19
346,9:14,Alvarito,Ufff el viejo tindermingo.  Hace mufho que no se de él,27-6-19
347,9:15,Jorge,Que habrá sido de el,27-6-19
348,11:09,Jorge,tengo curiosidad por si a @34617017133 y @34680290628 les gustará esta canción,27-6-19
349,11:09,Jorge,Este mensaje fue eliminado,27-6-19
350,11:09,Ivan,Luego lo video man,27-6-19
351,11:09,Jorge,//www.youtube.com/watch?v=fvl_q2hLpPM,27-6-19
352,11:11,Ivan,La tenía en cinta champ. Antes de tu primera paja ya la escuchaba,27-6-19
353,11:12,Ivan,Está guapa. A mí todas estas me molan tipo para entrenar por ejemplo,27-6-19
354,11:12,Jorge,"solo quiero saber la opinion de un odiante de la musica electronica como es ismael, y un ivan aleatorio",27-6-19
355,11:12,Jorge,"correctísimo, canción para sprints",27-6-19
356,11:12,Ivan,Eeeeeesooo,27-6-19
357,11:12,Ivan,Mi favorita era una que a ver si encuentro,27-6-19
358,11:13,Ivan,Pero no era del Máquina Total creo,27-6-19
359,11:14,Ivan,//youtu.be/RkEXGgdqMz8,27-6-19
360,11:14,Ivan,Mira hasta con videoclip y todo,27-6-19
361,11:15,Ivan,"Era un poquito más lenta, pero esta así de bacalao cantadito era la que más me gusta",27-6-19
362,11:16,Jorge,esta no transmite tanta alegria,27-6-19
363,11:16,Jorge,sino que transmite antoñitos apretando los dientes,27-6-19
364,11:16,Jorge,y los ojos muy abiertos,27-6-19
365,11:19,Ivan,🤛🏻😬,27-6-19
366,11:19,Ivan,Así,27-6-19
367,11:19,Jorge,este video esta visto por los avanzados,27-6-19
368,11:19,Jorge,pero no por los neofitos,27-6-19
369,11:19,Jorge,//www.youtube.com/watch?v=w5gLlqbnnbA,27-6-19
370,11:22,Jorge,"En esta ocasión José Manuel Forte nos demuestra cómo responder a un fanfarrón. Arriesgando su propio dinero y poniendo los cojones encima de la mesa. Esta vez no nos deja la moraleja, sino",27-6-19
371,11:24,Ivan,Hostia este no le había visto y eso que ya tiene 7 años. Muy guapo y el ending es la polla,27-6-19
372,11:33,Jorge,Esta mañana me he tenido que hacer una paja veves,27-6-19
373,11:33,Jorge,Para mis análisis de ETS,27-6-19
374,11:33,Pete,en serio??,27-6-19
375,11:33,Pete,pero en el doctor?,27-6-19
376,11:33,Pete,o trajiste la chele de casa,27-6-19
377,11:33,Jorge,Traje la chele de casa,27-6-19
378,11:34,Jorge,Pajita a las 7 para empezar bien el dia,27-6-19
379,11:34,Jorge,Lugo análisis de sangre,27-6-19
380,11:34,Jorge,Y luego me he metido un bastoncillo por el agujero del nabo,27-6-19
381,11:34,Fonseca,Que bonito,27-6-19
382,11:34,Pete,jajajajaja,27-6-19
383,11:34,Jorge,Me los haré cada 6 meses,27-6-19
384,11:35,Jorge,Y si sale algo chungo me meto a monje,27-6-19
385,11:35,Ivan,Aaaaasuuuusshhh nooooo,27-6-19
386,11:35,Eku,Yo duermo esto como máximo todos los días,27-6-19
387,11:35,Jorge,Y el. Anda que no se acuesta a la 1 y pico muchas veces rascándose el nabo viendo la tele,27-6-19
388,11:35,Jorge,Y se levanta a las 7 luego,27-6-19
389,11:36,Ivan,Y luego van las tres horas de siesta clásicas del Eku. Sssaaajodío,27-6-19
390,12:05,Eku,Q va macho,27-6-19
391,12:05,Eku,Eso ya no existe,27-6-19
392,12:06,Jorge,"Recordad amigos. Si os dais un capricho tras haber hecho algo que la acerca a vuestra mejor versión, os estáis premiando. Si lo hacéis para apagar la voz que os dice que vuestra vida es un",27-6-19
397,12:06,Pete,confuncio?,27-6-19
398,12:07,Pete,<Multimedia omitido>,27-6-19
399,12:07,Pete,antoñito libertad,27-6-19
400,12:09,Antoñito,Por eso hoy en mi fábrica se escucha hardcore !!,27-6-19
